%  columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst fitness function value, further objective values of best" (startseed=123, 2025/07/31 19:39:6.31)
1 17 2.815788e+01 1.053380e+01  1.457325664910186561e+03  1.457325664910186561e+03  1.755528559312559992e+03  6.888005171440777485e+04
2 33 2.682841e+01 1.063645e+01  1.457325664910186561e+03  1.524968758645030448e+03  1.589809227494420384e+03  1.780235521624900912e+03
3 49 2.614894e+01 1.101063e+01  1.332906357931060029e+03  1.332906357931060029e+03  1.554996344619001320e+03  4.750816238432280443e+03
4 65 2.601691e+01 1.120235e+01  1.332906357931060029e+03  1.379887486968642634e+03  1.580915118645628809e+03  2.101600400435434949e+03
5 81 2.674488e+01 1.140368e+01  1.298918231804762399e+03  1.298918231804762399e+03  1.556619569997104918e+03  1.671586971072133565e+03
6 97 2.571897e+01 1.156171e+01  1.281163438385954805e+03  1.281163438385954805e+03  1.403148585655999341e+03  2.442539598002246748e+03
7 113 2.558679e+01 1.188669e+01  1.281163438385954805e+03  1.288198352966546281e+03  1.472183865751083204e+03  1.681326271070943903e+03
8 129 2.453818e+01 1.200815e+01  1.226578032357178927e+03  1.226578032357178927e+03  1.330698302228042394e+03  1.724741082664883606e+03
9 145 2.413183e+01 1.200344e+01  1.226578032357178927e+03  1.248540454513869463e+03  1.384823974069551241e+03  1.958415847350992181e+03
10 161 2.394623e+01 1.166626e+01  1.226578032357178927e+03  1.228989526322028041e+03  1.363699480978051497e+03  1.541443820396718365e+03
11 177 2.396253e+01 1.168965e+01  1.226578032357178927e+03  1.239670818438088645e+03  1.431292738293857838e+03  1.936516764040000908e+03
12 193 2.251881e+01 1.167318e+01  1.226187192501556183e+03  1.226187192501556183e+03  1.332830176710262776e+03  1.646552913452050916e+03
13 209 2.128000e+01 1.183738e+01  1.226187192501556183e+03  1.226653762136422301e+03  1.347019615058494765e+03  1.640832423633979488e+03
14 225 2.021804e+01 1.182007e+01  1.226187192501556183e+03  1.245841107138001917e+03  1.330060805032017697e+03  1.491323549318693267e+03
15 241 1.864511e+01 1.184500e+01  1.226187192501556183e+03  1.241171997301079728e+03  1.328488772378429303e+03  1.702037500049654909e+03
16 257 1.729894e+01 1.198536e+01  1.226187192501556183e+03  1.235647374443073431e+03  1.276995699197605063e+03  1.537151600273984059e+03
17 273 1.616943e+01 1.214674e+01  1.209864669234076018e+03  1.209864669234076018e+03  1.271077369866319259e+03  1.472519234911533658e+03
18 289 1.609521e+01 1.194282e+01  1.201880462817858415e+03  1.201880462817858415e+03  1.308873402760533509e+03  1.564322529751317461e+03
19 305 1.580410e+01 1.206107e+01  1.200303923963835814e+03  1.200303923963835814e+03  1.257313122533058049e+03  1.502551038407459828e+03
20 321 1.573176e+01 1.216579e+01  1.186324111066624482e+03  1.186324111066624482e+03  1.218970945556550987e+03  1.471249897918442457e+03
21 337 1.540171e+01 1.240833e+01  1.186324111066624482e+03  1.193156451101855282e+03  1.222505902385109948e+03  1.462240806563986780e+03
22 353 1.530960e+01 1.268370e+01  1.186324111066624482e+03  1.200693195604112816e+03  1.227582997683574376e+03  1.503185927433778943e+03
23 369 1.539913e+01 1.316772e+01  1.186324111066624482e+03  1.199850531522181427e+03  1.270121497938259836e+03  1.505110012940457864e+03
24 385 1.511260e+01 1.345881e+01  1.186324111066624482e+03  1.207140095634659247e+03  1.267649229742459738e+03  1.467317638928790984e+03
25 401 1.433405e+01 1.362562e+01  1.186298786252718628e+03  1.186298786252718628e+03  1.229417899139278688e+03  1.463836284267322071e+03
26 417 1.356906e+01 1.365300e+01  1.182839484886485934e+03  1.182839484886485934e+03  1.212437516041964500e+03  1.407884327595835430e+03
27 433 1.310068e+01 1.372640e+01  1.182718781251581277e+03  1.182718781251581277e+03  1.207798401187704485e+03  1.366450907994017143e+03
28 449 1.276008e+01 1.367866e+01  1.182655739690465452e+03  1.182655739690465452e+03  1.210204251949082845e+03  1.460071873826863794e+03
29 465 1.244532e+01 1.369552e+01  1.176029799962595462e+03  1.176029799962595462e+03  1.203457484734258287e+03  1.399122450558158562e+03
30 481 1.250657e+01 1.354866e+01  1.176029799962595462e+03  1.177698302430181229e+03  1.199957940795368131e+03  1.524090785624139698e+03
31 497 1.206811e+01 1.355835e+01  1.176029799962595462e+03  1.177106305386494114e+03  1.188270371451184928e+03  1.252722714315522808e+03
32 513 1.160161e+01 1.361598e+01  1.175244544145265763e+03  1.175244544145265763e+03  1.191166297817853319e+03  1.529624403271425990e+03
33 529 1.127407e+01 1.364511e+01  1.175244544145265763e+03  1.175413232776955738e+03  1.193928388737337627e+03  1.490354063332780925e+03
34 545 1.127803e+01 1.366288e+01  1.175244544145265763e+03  1.181195736701269425e+03  1.209332459889579241e+03  1.617896469800745763e+03
35 561 1.036546e+01 1.386692e+01  1.175244544145265763e+03  1.179779614234207656e+03  1.191434584121210719e+03  1.220862279522402332e+03
36 577 9.291802e+00 1.392430e+01  1.175244544145265763e+03  1.175885101613449251e+03  1.186908971903456404e+03  1.278288142072605979e+03
37 593 8.846824e+00 1.372158e+01  1.175244544145265763e+03  1.178034388086779700e+03  1.198225315717979356e+03  1.294029771266286161e+03
38 609 8.401080e+00 1.382366e+01  1.173981871949280730e+03  1.173981871949280730e+03  1.192576284398110602e+03  1.284296987558244609e+03
39 625 8.895628e+00 1.368738e+01  1.168823481521505755e+03  1.168823481521505755e+03  1.183127316122243428e+03  1.245724168072145631e+03
40 641 8.903236e+00 1.363363e+01  1.168422532333774825e+03  1.168422532333774825e+03  1.184621035901851201e+03  1.521302189191943626e+03
41 657 8.788129e+00 1.383990e+01  1.166676250503751135e+03  1.166676250503751135e+03  1.182403267373796552e+03  1.538470259103435865e+03
42 673 9.171039e+00 1.384663e+01  1.166676250503751135e+03  1.176390269266746600e+03  1.194788463318952154e+03  1.518445615042845475e+03
43 689 9.230665e+00 1.386042e+01  1.166676250503751135e+03  1.171067163131678171e+03  1.183304406195964930e+03  1.273960718966793365e+03
