%  columns="iteration, evaluation, fitness, void, void, xrecentbest" (startseed=123, 2025/07/31 19:39:6.31)
1 17  1.457325664910186561e+03 0 0 2.003347e+01 6.924109e+01 4.238726e+01 1.635737e+01 9.943786e+01 4.080559e+01 2.678608e+01 9.381875e+00 4.022817e+01 9.659683e+01 6.884705e+01 1.918170e+01 4.394229e+00 7.583222e+00 9.674475e+00 4.611011e+00 
2 33  1.524968758645030448e+03 0 0 4.720423e+01 1.542583e+01 1.936168e+01 5.274263e+01 8.149737e+01 4.328272e+01 2.449585e+01 6.153717e+01 9.444634e+01 8.316619e+01 5.695698e+01 2.634682e+01 2.552895e+00 7.597372e+00 6.190402e+00 5.414600e+00 
3 49  1.332906357931060029e+03 0 0 4.448050e+01 2.721735e+01 2.280772e+00 5.916519e+01 1.288524e+02 8.891211e+01 5.479376e+01 4.179146e+00 6.106487e+01 6.540859e+01 7.566706e+01 1.732566e+01 5.577336e+00 9.087411e+00 7.951954e+00 7.772151e+00 
4 65  1.379887486968642634e+03 0 0 5.024722e+01 1.518275e+01 3.761625e+01 7.864626e+01 6.308657e+01 1.171673e+02 8.878935e+00 2.823323e+00 9.713744e+01 1.114032e+02 6.949495e+01 3.151433e+01 7.479540e+00 5.854394e+00 5.966341e+00 6.009116e+00 
5 81  1.298918231804762399e+03 0 0 7.414858e+01 2.597753e+01 6.471404e+01 1.003314e+02 7.351064e+01 1.175865e+02 4.769742e+01 5.410805e+00 3.908193e+01 1.108413e+02 6.781830e+01 9.205552e+00 8.764544e+00 6.146836e+00 8.138796e+00 7.316144e+00 
6 97  1.281163438385954805e+03 0 0 5.249750e+01 8.012623e+00 6.259215e+01 7.033016e+01 5.562190e+01 6.726675e+01 3.165259e+01 -3.948548e+00 5.576021e+01 5.737742e+01 8.488130e+01 1.116931e+01 5.116052e+00 4.634147e+00 1.511114e+00 6.173488e+00 
7 113  1.288198352966546281e+03 0 0 1.926242e+01 -3.566272e+00 8.322379e+01 3.921920e+01 1.182846e+02 1.156424e+02 5.161633e+01 -3.812794e+01 5.226150e+01 1.017157e+02 2.994154e+01 3.919026e+01 7.542693e+00 5.542171e+00 3.554277e+00 9.725293e+00 
8 129  1.226578032357178927e+03 0 0 4.869497e+01 2.453911e+01 3.334049e+01 5.661749e+01 1.815745e+01 1.282045e+02 6.495686e+01 -4.924627e+01 9.433176e+01 1.303732e+02 8.287540e+01 1.518062e+01 3.726259e+00 7.930850e+00 3.747376e+00 9.532607e+00 
9 145  1.248540454513869463e+03 0 0 5.637428e+01 1.622149e+01 6.396394e+01 7.833795e+01 8.645652e+01 1.119211e+02 4.846863e+01 -6.711564e+01 5.885851e+01 1.255635e+02 8.293287e+01 7.862924e+00 7.112945e+00 8.607355e+00 3.559283e+00 9.746827e+00 
10 161  1.228989526322028041e+03 0 0 6.966145e+01 3.042885e+01 6.759898e+01 3.845441e+01 1.264381e+02 7.527051e+01 5.650039e+01 -1.079595e+01 1.543963e+01 8.889212e+01 6.126118e+01 6.250652e+00 4.903214e+00 1.128902e+01 2.754836e-01 7.105952e+00 
11 177  1.239670818438088645e+03 0 0 4.930552e+01 -5.831785e+00 3.712581e+01 5.429196e+01 9.905177e+01 7.953502e+01 7.655634e+01 -3.991177e+01 8.248269e+01 1.578379e+02 1.144497e+02 1.861828e+01 7.954228e+00 1.253078e+01 2.331624e+00 4.851100e+00 
12 193  1.226187192501556183e+03 0 0 6.752739e+01 2.091377e+01 3.870294e+01 3.513132e+01 5.365532e+01 6.249089e+01 8.372364e+01 -5.649745e+00 8.675689e+01 1.460843e+02 1.183545e+02 1.563404e+01 6.246080e-01 7.193584e+00 1.636847e+00 8.441190e+00 
13 209  1.226653762136422301e+03 0 0 8.751976e+01 1.695340e+01 3.326076e+01 3.432172e+01 1.045541e+02 7.288951e+01 1.062693e+02 5.740435e-01 7.579305e+01 1.364922e+02 8.230105e+01 7.221648e+00 7.438177e+00 1.027789e+01 2.567898e+00 7.841581e+00 
