Method,RMSE,MAE,MAX
APF-Cost,0.98028378985183,0.430977516239725,4.06188721326618
APF-Hybrid,0.997712771602571,0.437748112862421,4.11820282811441
APF-Parameter,0.240762903659955,0.116706299847304,1.03247455894508
