%  columns="iteration, evaluation, sigma, max axis length, min axis length, all principal axes lengths (sorted square roots of eigenvalues of C)" (startseed=123, 2025/07/31 19:39:6.31)
1 17 2.815788e+01 1.041523e+00 9.887436e-02 9.887436e-02 9.908247e-02 9.940135e-02 1.001059e-01 9.873648e-01 9.873648e-01 9.873648e-01 9.873648e-01 9.875401e-01 9.890635e-01 9.893593e-01 9.902559e-01 9.935773e-01 1.010804e+00 1.014353e+00 1.041523e+00 
2 33 2.682841e+01 1.043941e+00 9.814752e-02 9.814752e-02 9.851727e-02 9.919874e-02 9.966732e-02 9.751820e-01 9.754014e-01 9.760351e-01 9.776491e-01 9.799254e-01 9.836275e-01 9.848556e-01 9.952417e-01 1.000877e+00 1.012226e+00 1.019260e+00 1.043941e+00 
3 49 2.614894e+01 1.068262e+00 9.702095e-02 9.702095e-02 9.774934e-02 9.872634e-02 9.922800e-02 9.638458e-01 9.654088e-01 9.678757e-01 9.698449e-01 9.736675e-01 9.772306e-01 9.880997e-01 9.896985e-01 9.999678e-01 1.025881e+00 1.039752e+00 1.068262e+00 
4 65 2.601691e+01 1.076715e+00 9.611515e-02 9.611515e-02 9.764142e-02 9.791374e-02 9.910264e-02 9.542895e-01 9.572595e-01 9.588582e-01 9.630032e-01 9.649819e-01 9.698869e-01 9.830150e-01 9.923838e-01 1.007362e+00 1.028375e+00 1.043296e+00 1.076715e+00 
5 81 2.674488e+01 1.097956e+00 9.628085e-02 9.628085e-02 9.696716e-02 9.753023e-02 9.929311e-02 9.467462e-01 9.474214e-01 9.514833e-01 9.547300e-01 9.588446e-01 9.675760e-01 9.778850e-01 1.006074e+00 1.008724e+00 1.026459e+00 1.038226e+00 1.097956e+00 
6 97 2.571897e+01 1.104217e+00 9.550634e-02 9.550634e-02 9.621567e-02 9.747701e-02 9.929428e-02 9.364488e-01 9.387205e-01 9.424979e-01 9.457545e-01 9.577098e-01 9.667807e-01 9.770294e-01 9.997961e-01 1.013398e+00 1.027933e+00 1.032192e+00 1.104217e+00 
7 113 2.558679e+01 1.126573e+00 9.477604e-02 9.477604e-02 9.650760e-02 9.788092e-02 9.907695e-02 9.272047e-01 9.325547e-01 9.328959e-01 9.447895e-01 9.520084e-01 9.694163e-01 9.780449e-01 9.951920e-01 1.006228e+00 1.029567e+00 1.039599e+00 1.126573e+00 
8 129 2.453818e+01 1.128072e+00 9.394224e-02 9.394224e-02 9.602257e-02 9.740047e-02 9.840113e-02 9.204667e-01 9.253758e-01 9.279831e-01 9.360780e-01 9.455921e-01 9.673589e-01 9.715972e-01 9.944782e-01 1.006729e+00 1.030512e+00 1.037683e+00 1.128072e+00 
9 145 2.413183e+01 1.126764e+00 9.387017e-02 9.387017e-02 9.583183e-02 9.690265e-02 9.840187e-02 9.125096e-01 9.222988e-01 9.249370e-01 9.312349e-01 9.358312e-01 9.573645e-01 9.603445e-01 9.859153e-01 1.009196e+00 1.026954e+00 1.055002e+00 1.126764e+00 
10 161 2.394623e+01 1.113920e+00 9.548219e-02 9.548219e-02 9.619343e-02 9.653739e-02 9.791027e-02 9.041576e-01 9.160157e-01 9.175823e-01 9.257989e-01 9.340474e-01 9.494497e-01 9.663702e-01 9.833400e-01 1.010355e+00 1.046421e+00 1.057824e+00 1.113920e+00 
11 177 2.396253e+01 1.110487e+00 9.499752e-02 9.499752e-02 9.542149e-02 9.627631e-02 9.940790e-02 8.954454e-01 9.113512e-01 9.157665e-01 9.184169e-01 9.284125e-01 9.424260e-01 9.657548e-01 9.787888e-01 1.005015e+00 1.043976e+00 1.060726e+00 1.110487e+00 
12 193 2.251881e+01 1.100692e+00 9.429242e-02 9.429242e-02 9.454067e-02 9.588860e-02 9.950028e-02 8.847551e-01 9.025105e-01 9.087074e-01 9.159901e-01 9.199567e-01 9.344810e-01 9.625610e-01 9.724949e-01 1.002098e+00 1.038141e+00 1.072492e+00 1.100692e+00 
13 209 2.128000e+01 1.106152e+00 9.344567e-02 9.344567e-02 9.385292e-02 9.489701e-02 1.000186e-01 8.789346e-01 8.961907e-01 8.995389e-01 9.128989e-01 9.206452e-01 9.283282e-01 9.616788e-01 9.779223e-01 1.007586e+00 1.041272e+00 1.073493e+00 1.106152e+00 
